Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
8.5,-2.508,3.602,-11.019,
8.533,-2.504,3.623,-10.757,
8.567,-2.535,3.622,-10.562,
8.6,-2.545,3.619,-10.489,
8.633,-2.579,3.619,-10.523,
8.667,-2.613,3.65,-10.648,
8.7,-2.645,3.699,-10.837,
8.733,-2.582,3.769,-11.095,
8.767,-2.501,3.856,-11.445,
8.8,-2.42,3.971,-11.883,
8.833,-2.369,4.097,-12.344,
8.867,-2.303,4.19,-12.805,
8.9,-2.235,4.27,-13.269,
8.933,-2.18,4.359,-13.775,
8.967,-2.124,4.492,-14.327,
9,-2.076,4.639,-14.932,
9.033,-2.061,4.767,-15.559,
9.067,-2.069,4.856,-16.219,
9.1,-2.052,4.933,-16.937,
9.133,-2.049,4.994,-17.691,
9.167,-2.058,5.013,-18.503,
9.2,-2.162,4.916,-19.25,
9.233,-2.209,4.802,-20.097,
9.267,-2.196,4.714,-20.858,
9.3,-2.191,4.599,-21.621,
9.333,-2.223,4.489,-22.454,
9.367,-2.274,4.365,-23.189,
9.4,-2.302,4.221,-23.824,
9.433,-2.37,4.109,-24.396,
9.467,-2.587,4.113,-25.044,
9.5,-2.922,4.206,-25.798,
9.533,-3.23,4.271,-26.494,
9.567,-3.441,4.281,-27.067,
9.6,-3.621,4.264,-27.513,
9.633,-3.745,4.21,-27.851,
9.667,-3.824,4.139,-28.132,
9.7,-3.892,4.101,-28.342,
9.733,-3.945,4.118,-28.547,
9.767,-3.972,4.17,-28.794,
9.8,-4.011,4.257,-29.082,
9.833,-4.047,4.372,-29.34,
9.867,-4.027,4.448,-29.562,
9.9,-3.977,4.489,-29.75,
9.933,-3.948,4.533,-29.903,
