Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
9,9.596,0.818,-4.073,
9.033,10.621,0.754,-4.247,
9.067,11.506,0.754,-4.485,
9.1,12.132,0.875,-4.779,
9.133,12.997,0.958,-5.136,
9.167,13.985,1.012,-5.352,
9.2,14.683,1.17,-5.437,
9.233,15.302,1.311,-5.411,
9.267,16.408,1.385,-5.366,
9.3,17.87,1.436,-5.419,
9.333,19.202,1.513,-5.359,
9.367,20.827,1.574,-5.152,
9.4,22.714,1.65,-5.13,
9.433,24.598,1.779,-5.086,
9.467,26.358,1.952,-4.991,
9.5,28.128,2.067,-4.779,
9.533,29.626,2.149,-4.424,
9.567,30.903,2.24,-4.031,
9.6,31.85,2.379,-3.611,
9.633,32.63,2.513,-3.173,
9.667,33.263,2.651,-2.807,
9.7,33.76,2.78,-2.545,
9.733,34.146,2.868,-2.344,
9.767,34.569,2.928,-2.209,
9.8,35.043,2.991,-2.099,
9.833,35.521,3.028,-2.005,
9.867,35.92,3.027,-1.914,
9.9,36.253,2.985,-1.86,
9.933,36.427,2.922,-1.855,
