Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
7.867,1.636,-1.23,0.549,
7.9,1.644,-1.292,0.605,
7.933,1.706,-1.359,0.633,
7.967,1.85,-1.431,0.658,
8,2.056,-1.516,0.81,
8.033,2.393,-1.604,0.968,
8.067,2.688,-1.7,1.024,
8.1,3.018,-1.809,1.063,
8.133,3.432,-1.92,1.119,
8.167,3.816,-2.013,1.153,
8.2,4.185,-2.095,1.162,
8.233,4.559,-2.183,1.144,
8.267,4.917,-2.253,1.131,
8.3,5.191,-2.3,1.128,
8.333,5.395,-2.355,1.172,
8.367,5.564,-2.386,1.216,
8.4,5.745,-2.403,1.247,
8.433,5.855,-2.39,1.279,
8.467,5.904,-2.383,1.324,
8.5,5.912,-2.373,1.383,
8.533,5.858,-2.356,1.441,
8.567,5.805,-2.334,1.477,
8.6,5.792,-2.318,1.48,
8.633,5.805,-2.313,1.46,
8.667,5.796,-2.31,1.43,
8.7,5.808,-2.304,1.369,
8.733,5.858,-2.304,1.276,
8.767,5.906,-2.321,1.21,
8.8,5.985,-2.348,1.194,
8.833,6.112,-2.382,1.197,
8.867,6.27,-2.436,1.245,
8.9,6.489,-2.506,1.33,
8.933,6.776,-2.567,1.415,
8.967,7.121,-2.609,1.504,
9,7.482,-2.632,1.561,
9.033,7.793,-2.653,1.591,
9.067,8.104,-2.666,1.605,
9.1,8.341,-2.686,1.627,
9.133,8.519,-2.703,1.661,
9.167,8.652,-2.712,1.694,
9.2,8.747,-2.718,1.729,
9.233,8.827,-2.723,1.762,
9.267,8.892,-2.719,1.786,
9.3,8.901,-2.695,1.774,
9.333,8.846,-2.653,1.742,
9.367,8.772,-2.625,1.707,
9.4,8.71,-2.607,1.685,
9.433,8.675,-2.594,1.689,
9.467,8.641,-2.571,1.711,
9.5,8.608,-2.546,1.729,
9.533,8.6,-2.538,1.743,
9.567,8.597,-2.525,1.763,
9.6,8.59,-2.506,1.77,
9.633,8.581,-2.482,1.767,
9.667,8.569,-2.459,1.772,
9.7,8.573,-2.445,1.768,
9.733,8.57,-2.432,1.767,
9.767,8.542,-2.429,1.769,
9.8,8.509,-2.428,1.761,
9.833,8.472,-2.422,1.751,
9.867,8.41,-2.392,1.717,
9.9,8.321,-2.346,1.647,
9.933,8.185,-2.301,1.568,
