Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
2.5,5.59,4.849,-2.573,
2.51,5.543,4.836,-2.592,
2.52,5.505,4.827,-2.609,
2.53,5.473,4.819,-2.617,
2.54,5.443,4.81,-2.611,
2.55,5.41,4.796,-2.588,
2.56,5.373,4.775,-2.551,
2.57,5.329,4.751,-2.507,
2.58,5.277,4.725,-2.459,
2.59,5.212,4.702,-2.411,
2.6,5.135,4.685,-2.358,
2.61,5.053,4.674,-2.298,
2.62,4.972,4.67,-2.228,
2.63,4.899,4.669,-2.148,
2.64,4.833,4.671,-2.06,
2.65,4.769,4.674,-1.97,
2.66,4.707,4.678,-1.882,
2.67,4.644,4.683,-1.799,
2.68,4.586,4.687,-1.726,
2.69,4.535,4.691,-1.664,
2.7,4.492,4.691,-1.611,
2.71,4.459,4.685,-1.566,
2.72,4.435,4.668,-1.524,
2.73,4.419,4.638,-1.482,
2.74,4.416,4.595,-1.438,
2.75,4.425,4.54,-1.393,
2.76,4.447,4.478,-1.349,
2.77,4.478,4.412,-1.307,
2.78,4.512,4.348,-1.271,
2.79,4.541,4.285,-1.242,
2.8,4.558,4.226,-1.223,
2.81,4.559,4.169,-1.215,
2.82,4.54,4.114,-1.22,
2.83,4.503,4.059,-1.241,
2.84,4.45,4.004,-1.278,
2.85,4.386,3.951,-1.331,
2.86,4.317,3.898,-1.399,
2.87,4.252,3.85,-1.478,
2.88,4.199,3.808,-1.567,
2.89,4.166,3.775,-1.667,
2.9,4.158,3.756,-1.781,
2.91,4.176,3.752,-1.912,
2.92,4.219,3.765,-2.061,
2.93,4.285,3.795,-2.227,
2.94,4.369,3.841,-2.407,
2.95,4.467,3.901,-2.592,
2.96,4.571,3.973,-2.772,
2.97,4.671,4.052,-2.94,
2.98,4.758,4.135,-3.086,
2.99,4.824,4.22,-3.208,
3,4.864,4.304,-3.301,
3.01,4.88,4.386,-3.366,
3.02,4.877,4.466,-3.402,
3.03,4.861,4.545,-3.412,
3.04,4.842,4.623,-3.4,
3.05,4.829,4.698,-3.369,
3.06,4.829,4.77,-3.326,
3.07,4.849,4.837,-3.277,
3.08,4.888,4.898,-3.228,
3.09,4.945,4.952,-3.185,
3.1,5.013,4.998,-3.151,
3.11,5.09,5.037,-3.125,
3.12,5.173,5.068,-3.108,
3.13,5.26,5.092,-3.094,
3.14,5.348,5.108,-3.083,
3.15,5.43,5.115,-3.071,
3.16,5.495,5.112,-3.06,
3.17,5.529,5.098,-3.05,
3.18,5.52,5.073,-3.045,
3.19,5.463,5.041,-3.044,
3.2,5.355,5.003,-3.045,
3.21,5.199,4.962,-3.044,
3.22,5.003,4.92,-3.036,
3.23,4.781,4.88,-3.021,
3.24,4.547,4.843,-3.003,
3.25,4.314,4.811,-2.991,
3.26,4.081,4.787,-2.991,
3.27,3.833,4.77,-3.002,
3.28,3.547,4.758,-3.017,
3.29,3.195,4.748,-3.025,
3.3,2.756,4.735,-3.018,
3.31,2.224,4.718,-2.99,
3.32,1.608,4.694,-2.944,
3.33,0.935,4.663,-2.886,
3.34,0.243,4.626,-2.821,
3.35,-0.428,4.586,-2.757,
3.36,-1.041,4.545,-2.699,
3.37,-1.568,4.507,-2.65,
3.38,-1.994,4.475,-2.612,
3.39,-2.31,4.455,-2.586,
3.4,-2.518,4.45,-2.572,
3.41,-2.626,4.463,-2.568,
3.42,-2.647,4.495,-2.57,
3.43,-2.595,4.542,-2.576,
3.44,-2.486,4.601,-2.581,
3.45,-2.338,4.669,-2.582,
3.46,-2.165,4.742,-2.578,
3.47,-1.983,4.816,-2.569,
3.48,-1.808,4.89,-2.554,
3.49,-1.652,4.96,-2.534,
3.5,-1.523,5.026,-2.509,
3.51,-1.423,5.082,-2.478,
3.52,-1.348,5.128,-2.44,
3.53,-1.292,5.16,-2.392,
3.54,-1.247,5.18,-2.335,
3.55,-1.206,5.188,-2.272,
3.56,-1.163,5.185,-2.203,
3.57,-1.112,5.172,-2.132,
3.58,-1.052,5.15,-2.061,
3.59,-0.981,5.121,-1.996,
3.6,-0.901,5.086,-1.939,
3.61,-0.815,5.044,-1.897,
3.62,-0.728,4.995,-1.87,
3.63,-0.644,4.94,-1.86,
3.64,-0.571,4.879,-1.863,
3.65,-0.512,4.813,-1.875,
3.66,-0.471,4.743,-1.892,
3.67,-0.449,4.674,-1.909,
3.68,-0.443,4.609,-1.921,
3.69,-0.451,4.551,-1.926,
3.7,-0.469,4.504,-1.924,
3.71,-0.494,4.469,-1.915,
3.72,-0.521,4.444,-1.902,
3.73,-0.544,4.43,-1.89,
3.74,-0.559,4.424,-1.882,
3.75,-0.563,4.426,-1.882,
3.76,-0.555,4.435,-1.89,
3.77,-0.536,4.452,-1.905,
3.78,-0.508,4.476,-1.923,
3.79,-0.473,4.509,-1.94,
3.8,-0.431,4.549,-1.954,
3.81,-0.383,4.596,-1.961,
3.82,-0.328,4.646,-1.961,
3.83,-0.268,4.699,-1.955,
3.84,-0.205,4.752,-1.944,
3.85,-0.14,4.806,-1.934,
3.86,-0.075,4.859,-1.926,
3.87,-0.012,4.914,-1.923,
3.88,0.049,4.969,-1.925,
3.89,0.106,5.025,-1.927,
3.9,0.161,5.079,-1.928,
3.91,0.215,5.13,-1.926,
3.92,0.272,5.176,-1.925,
3.93,0.332,5.219,-1.927,
3.94,0.395,5.256,-1.932,
3.95,0.463,5.288,-1.937,
3.96,0.537,5.313,-1.936,
3.97,0.62,5.33,-1.926,
3.98,0.708,5.339,-1.91,
3.99,0.797,5.34,-1.894,
4,0.877,5.333,-1.888,
4.01,0.943,5.32,-1.898,
4.02,0.992,5.302,-1.93,
4.03,1.025,5.278,-1.981,
4.04,1.044,5.25,-2.046,
4.05,1.052,5.218,-2.117,
4.06,1.053,5.184,-2.185,
4.07,1.049,5.149,-2.246,
4.08,1.04,5.114,-2.296,
4.09,1.029,5.08,-2.332,
4.1,1.015,5.05,-2.356,
4.11,1.001,5.023,-2.369,
4.12,0.987,5.003,-2.374,
4.13,0.975,4.989,-2.372,
4.14,0.967,4.984,-2.366,
4.15,0.966,4.986,-2.357,
4.16,0.97,4.995,-2.345,
4.17,0.982,5.011,-2.328,
4.18,0.997,5.03,-2.308,
4.19,1.015,5.052,-2.284,
4.2,1.033,5.075,-2.257,
4.21,1.049,5.098,-2.229,
4.22,1.063,5.121,-2.203,
4.23,1.074,5.145,-2.18,
4.24,1.083,5.17,-2.16,
4.25,1.089,5.197,-2.144,
4.26,1.092,5.224,-2.131,
4.27,1.093,5.25,-2.12,
4.28,1.092,5.274,-2.111,
4.29,1.091,5.294,-2.103,
4.3,1.094,5.308,-2.096,
4.31,1.101,5.318,-2.09,
4.32,1.116,5.322,-2.087,
4.33,1.138,5.323,-2.086,
4.34,1.167,5.322,-2.089,
4.35,1.203,5.32,-2.096,
4.36,1.243,5.317,-2.106,
4.37,1.286,5.313,-2.121,
4.38,1.33,5.307,-2.139,
4.39,1.374,5.3,-2.161,
4.4,1.418,5.291,-2.184,
4.41,1.459,5.28,-2.208,
4.42,1.497,5.268,-2.231,
4.43,1.532,5.256,-2.25,
4.44,1.561,5.243,-2.265,
4.45,1.584,5.23,-2.275,
4.46,1.602,5.217,-2.281,
4.47,1.614,5.204,-2.284,
4.48,1.623,5.191,-2.285,
4.49,1.628,5.178,-2.286,
4.5,1.632,5.164,-2.286,
4.51,1.636,5.15,-2.286,
4.52,1.641,5.136,-2.286,
4.53,1.648,5.123,-2.285,
4.54,1.658,5.111,-2.284,
4.55,1.671,5.1,-2.283,
4.56,1.686,5.091,-2.279,
4.57,1.702,5.085,-2.269,
4.58,1.715,5.079,-2.251,
4.59,1.727,5.073,-2.225,
4.6,1.737,5.068,-2.199,
4.61,1.746,5.065,-2.178,
4.62,1.753,5.065,-2.165,
4.63,1.759,5.066,-2.16,
4.64,1.764,5.069,-2.156,
4.65,1.771,5.072,-2.148,
4.66,1.782,5.074,-2.132,
4.67,1.795,5.075,-2.108,
4.68,1.807,5.074,-2.079,
4.69,1.818,5.073,-2.049,
4.7,1.824,5.072,-2.022,
4.71,1.828,5.072,-2,
4.72,1.828,5.073,-1.981,
4.73,1.826,5.075,-1.966,
4.74,1.824,5.077,-1.952,
4.75,1.821,5.081,-1.939,
4.76,1.818,5.085,-1.925,
4.77,1.814,5.09,-1.912,
4.78,1.81,5.096,-1.9,
4.79,1.806,5.102,-1.889,
4.8,1.802,5.11,-1.879,
4.81,1.798,5.12,-1.871,
4.82,1.795,5.131,-1.865,
4.83,1.793,5.144,-1.86,
4.84,1.789,5.157,-1.856,
4.85,1.784,5.17,-1.853,
4.86,1.777,5.182,-1.852,
4.87,1.769,5.191,-1.851,
4.88,1.758,5.198,-1.851,
4.89,1.749,5.202,-1.849,
4.9,1.741,5.205,-1.847,
4.91,1.735,5.206,-1.845,
4.92,1.732,5.207,-1.844,
4.93,1.73,5.208,-1.845,
4.94,1.73,5.21,-1.848,
4.95,1.73,5.213,-1.853,
4.96,1.732,5.217,-1.86,
4.97,1.735,5.222,-1.867,
4.98,1.74,5.227,-1.873,
4.99,1.749,5.232,-1.879,
5,1.76,5.236,-1.886,
5.01,1.774,5.239,-1.894,
5.02,1.79,5.241,-1.905,
5.03,1.808,5.241,-1.919,
5.04,1.826,5.239,-1.936,
5.05,1.845,5.236,-1.958,
5.06,1.864,5.232,-1.983,
5.07,1.886,5.227,-2.011,
5.08,1.91,5.221,-2.043,
5.09,1.936,5.214,-2.076,
5.1,1.963,5.207,-2.11,
5.11,1.989,5.2,-2.146,
5.12,2.012,5.194,-2.182,
5.13,2.031,5.192,-2.218,
5.14,2.049,5.193,-2.252,
5.15,2.067,5.198,-2.284,
5.16,2.088,5.204,-2.309,
5.17,2.114,5.21,-2.328,
5.18,2.142,5.216,-2.339,
5.19,2.168,5.219,-2.341,
5.2,2.187,5.221,-2.335,
5.21,2.197,5.222,-2.321,
5.22,2.197,5.221,-2.302,
5.23,2.19,5.219,-2.28,
5.24,2.181,5.218,-2.256,
5.25,2.174,5.215,-2.231,
5.26,2.171,5.211,-2.203,
5.27,2.173,5.203,-2.171,
5.28,2.178,5.189,-2.133,
5.29,2.186,5.17,-2.092,
5.3,2.195,5.145,-2.054,
5.31,2.204,5.116,-2.022,
5.32,2.211,5.087,-1.998,
5.33,2.216,5.059,-1.978,
5.34,2.22,5.034,-1.957,
5.35,2.227,5.012,-1.93,
5.36,2.235,4.993,-1.896,
5.37,2.244,4.977,-1.857,
5.38,2.251,4.965,-1.816,
5.39,2.251,4.957,-1.776,
5.4,2.246,4.952,-1.739,
5.41,2.236,4.951,-1.703,
5.42,2.223,4.951,-1.668,
5.43,2.209,4.951,-1.633,
5.44,2.194,4.951,-1.599,
5.45,2.181,4.951,-1.566,
5.46,2.17,4.951,-1.538,
5.47,2.162,4.952,-1.516,
5.48,2.158,4.957,-1.501,
5.49,2.16,4.965,-1.493,
5.5,2.166,4.976,-1.49,
5.51,2.178,4.989,-1.49,
5.52,2.193,5.004,-1.492,
5.53,2.21,5.019,-1.499,
5.54,2.228,5.033,-1.513,
5.55,2.243,5.046,-1.537,
5.56,2.254,5.059,-1.572,
5.57,2.258,5.071,-1.615,
5.58,2.255,5.082,-1.662,
5.59,2.246,5.091,-1.706,
5.6,2.23,5.098,-1.742,
5.61,2.21,5.102,-1.77,
5.62,2.186,5.102,-1.793,
5.63,2.162,5.1,-1.816,
5.64,2.14,5.095,-1.847,
5.65,2.123,5.089,-1.888,
5.66,2.111,5.08,-1.94,
5.67,2.106,5.067,-2,
5.68,2.107,5.051,-2.065,
5.69,2.113,5.031,-2.132,
5.7,2.125,5.006,-2.2,
5.71,2.144,4.978,-2.268,
5.72,2.172,4.946,-2.335,
5.73,2.207,4.913,-2.402,
5.74,2.25,4.879,-2.467,
5.75,2.297,4.842,-2.53,
5.76,2.346,4.802,-2.591,
5.77,2.398,4.758,-2.648,
5.78,2.454,4.707,-2.702,
5.79,2.514,4.65,-2.752,
5.8,2.58,4.587,-2.797,
5.81,2.654,4.516,-2.839,
5.82,2.735,4.438,-2.876,
5.83,2.826,4.355,-2.91,
5.84,2.926,4.268,-2.938,
5.85,3.039,4.178,-2.96,
5.86,3.165,4.086,-2.971,
5.87,3.303,3.993,-2.97,
5.88,3.451,3.899,-2.954,
5.89,3.604,3.802,-2.923,
5.9,3.756,3.701,-2.877,
5.91,3.905,3.595,-2.821,
5.92,4.047,3.483,-2.757,
5.93,4.181,3.366,-2.689,
5.94,4.308,3.245,-2.621,
5.95,4.435,3.123,-2.555,
5.96,4.571,3.003,-2.494,
5.97,4.726,2.89,-2.435,
5.98,4.909,2.785,-2.377,
5.99,5.124,2.692,-2.315,
6,5.368,2.611,-2.244,
6.01,5.637,2.541,-2.165,
6.02,5.922,2.48,-2.078,
6.03,6.208,2.427,-1.987,
6.04,6.478,2.382,-1.892,
6.05,6.714,2.346,-1.792,
6.06,6.904,2.32,-1.687,
6.07,7.044,2.306,-1.575,
6.08,7.138,2.304,-1.457,
6.09,7.19,2.314,-1.339,
6.1,7.203,2.335,-1.222,
6.11,7.178,2.365,-1.111,
6.12,7.117,2.402,-1.009,
6.13,7.022,2.444,-0.916,
6.14,6.898,2.487,-0.833,
6.15,6.746,2.531,-0.759,
6.16,6.566,2.573,-0.693,
6.17,6.354,2.608,-0.634,
6.18,6.108,2.634,-0.583,
6.19,5.832,2.648,-0.541,
6.2,5.536,2.647,-0.512,
6.21,5.239,2.63,-0.501,
6.22,4.96,2.6,-0.511,
6.23,4.716,2.559,-0.542,
6.24,4.518,2.514,-0.594,
6.25,4.365,2.471,-0.664,
6.26,4.251,2.437,-0.748,
6.27,4.165,2.418,-0.843,
6.28,4.099,2.421,-0.945,
6.29,4.046,2.449,-1.05,
6.3,3.999,2.501,-1.155,
6.31,3.955,2.574,-1.259,
6.32,3.909,2.66,-1.358,
6.33,3.858,2.751,-1.452,
6.34,3.8,2.838,-1.543,
6.35,3.733,2.916,-1.631,
6.36,3.659,2.982,-1.717,
6.37,3.583,3.035,-1.803,
6.38,3.505,3.076,-1.889,
6.39,3.431,3.108,-1.975,
6.4,3.367,3.135,-2.06,
6.41,3.318,3.16,-2.143,
6.42,3.289,3.185,-2.224,
6.43,3.282,3.212,-2.3,
6.44,3.296,3.241,-2.37,
6.45,3.328,3.271,-2.433,
6.46,3.374,3.3,-2.49,
6.47,3.426,3.327,-2.541,
6.48,3.477,3.351,-2.588,
6.49,3.517,3.371,-2.631,
6.5,3.541,3.385,-2.668,
6.51,3.545,3.394,-2.699,
6.52,3.529,3.396,-2.721,
6.53,3.494,3.392,-2.731,
6.54,3.445,3.382,-2.727,
6.55,3.39,3.366,-2.708,
6.56,3.339,3.344,-2.676,
6.57,3.302,3.317,-2.632,
6.58,3.285,3.286,-2.579,
6.59,3.288,3.252,-2.517,
6.6,3.304,3.218,-2.449,
6.61,3.325,3.185,-2.374,
6.62,3.344,3.154,-2.294,
6.63,3.357,3.125,-2.208,
6.64,3.365,3.098,-2.118,
6.65,3.369,3.074,-2.025,
6.66,3.371,3.052,-1.931,
6.67,3.372,3.032,-1.839,
6.68,3.371,3.015,-1.749,
6.69,3.371,3.001,-1.662,
6.7,3.372,2.99,-1.581,
6.71,3.377,2.982,-1.506,
6.72,3.387,2.977,-1.436,
6.73,3.399,2.975,-1.371,
6.74,3.408,2.974,-1.309,
6.75,3.409,2.975,-1.251,
6.76,3.402,2.975,-1.198,
6.77,3.389,2.976,-1.155,
6.78,3.374,2.977,-1.121,
6.79,3.358,2.98,-1.098,
6.8,3.342,2.986,-1.08,
6.81,3.328,2.995,-1.065,
6.82,3.318,3.008,-1.049,
6.83,3.316,3.022,-1.031,
6.84,3.321,3.036,-1.01,
6.85,3.33,3.049,-0.989,
6.86,3.34,3.06,-0.969,
6.87,3.347,3.068,-0.956,
6.88,3.354,3.076,-0.952,
6.89,3.364,3.084,-0.958,
6.9,3.381,3.095,-0.973,
6.91,3.412,3.107,-0.994,
6.92,3.457,3.12,-1.019,
6.93,3.518,3.134,-1.047,
6.94,3.592,3.147,-1.078,
6.95,3.677,3.16,-1.113,
6.96,3.768,3.172,-1.151,
6.97,3.858,3.183,-1.191,
6.98,3.942,3.194,-1.231,
6.99,4.018,3.204,-1.27,
7,4.084,3.213,-1.306,
7.01,4.142,3.221,-1.338,
7.02,4.194,3.227,-1.368,
7.03,4.242,3.231,-1.394,
7.04,4.287,3.233,-1.42,
7.05,4.332,3.235,-1.446,
7.06,4.375,3.236,-1.473,
7.07,4.419,3.238,-1.5,
7.08,4.465,3.239,-1.525,
7.09,4.513,3.241,-1.548,
7.1,4.565,3.243,-1.566,
7.11,4.618,3.245,-1.58,
7.12,4.671,3.246,-1.591,
7.13,4.723,3.247,-1.6,
7.14,4.772,3.248,-1.608,
7.15,4.815,3.249,-1.616,
7.16,4.852,3.251,-1.622,
7.17,4.883,3.254,-1.627,
7.18,4.91,3.26,-1.63,
7.19,4.936,3.267,-1.63,
7.2,4.964,3.275,-1.629,
7.21,4.996,3.285,-1.625,
7.22,5.034,3.295,-1.619,
7.23,5.074,3.306,-1.613,
7.24,5.115,3.315,-1.606,
7.25,5.153,3.324,-1.598,
7.26,5.187,3.332,-1.59,
7.27,5.216,3.339,-1.582,
7.28,5.242,3.345,-1.573,
7.29,5.265,3.35,-1.565,
7.3,5.287,3.354,-1.558,
7.31,5.312,3.357,-1.553,
7.32,5.339,3.36,-1.551,
7.33,5.368,3.363,-1.551,
7.34,5.398,3.365,-1.552,
7.35,5.427,3.368,-1.553,
7.36,5.455,3.371,-1.554,
7.37,5.482,3.373,-1.554,
7.38,5.507,3.375,-1.555,
7.39,5.531,3.376,-1.557,
7.4,5.553,3.377,-1.561,
7.41,5.573,3.377,-1.567,
7.42,5.59,3.376,-1.573,
7.43,5.607,3.374,-1.58,
7.44,5.624,3.371,-1.586,
7.45,5.645,3.366,-1.593,
7.46,5.675,3.361,-1.601,
7.47,5.713,3.356,-1.61,
7.48,5.757,3.351,-1.619,
7.49,5.802,3.347,-1.627,
7.5,5.844,3.343,-1.633,
7.51,5.883,3.338,-1.64,
7.52,5.921,3.332,-1.651,
7.53,5.964,3.325,-1.669,
7.54,6.012,3.317,-1.694,
7.55,6.067,3.307,-1.724,
7.56,6.128,3.298,-1.757,
7.57,6.196,3.288,-1.792,
7.58,6.272,3.279,-1.826,
7.59,6.351,3.272,-1.861,
7.6,6.424,3.268,-1.896,
7.61,6.485,3.269,-1.929,
7.62,6.527,3.272,-1.96,
7.63,6.551,3.279,-1.989,
7.64,6.564,3.286,-2.013,
7.65,6.571,3.293,-2.032,
7.66,6.58,3.297,-2.047,
